cat,type,consumption
Light,Standard Light Bulb,42151.592
Light,Halogen,279603.066
Light,Fluorescent Strip Lighting,14151.684
Light,Energy Saving Light Bulb,383009.597
Light,LED,4642.849
Cold,Chest Freezer,4192.246
Cold,Fridge-freezer,18771.264
Cold,Refrigerator,10213.776
Cold,Upright Freezer,8504.021
Wet,Washing Machine,21830.28
Wet,Washer-dryer,4213.87
Wet,Dishwasher,10351.8
Wet,Tumble Dryer,12455.432
Electronics,TV,64236.826
Electronics,Set Top Box,34892.495
Electronics,DVD/VCR,36520.143
Electronics,Games Consoles,20202.091
Electronics,Power Supply Units,202620.725
Computers,Desktops,10227.747
Computers,Laptops,27641.17
Computers,Monitors,21018.434
Computers,Printers,7960.8
Computers,Multi-Function Devices,19398.494
Cooking,Electric Oven,17738.476
Cooking,Electric Hob,12136.836
Cooking,Microwave,23464.08
Cooking,Kettle,26317.49
